"id","name","number_of_seasons","number_of_episodes","original_language","vote_count","vote_average","overview","adult","backdrop_path","first_air_date","last_air_date","homepage","in_production","original_name","popularity","poster_path","type","status","tagline","genres","created_by","languages","networks","origin_country","spoken_languages","production_companies","production_countries","episode_run_time"
"68379","Heaven's Memo Pad","1","12","ja","24","7.771","Narumi Fujishima is an ordinary high school boy who remains isolated from his fellow classmates. One afternoon fellow classmate Ayaka Shinozaki invites Narumi to join the gardening club and introduces him to a reclusive detective named Alice. Alice hires Narumi as an assistant and puts him to work solving the strange mysteries of Angel fix, an illegal drug. Little does he know it could put him and Ayaka in serious trouble.","False","/cLkseGdKLAC8D3uIRUAO5dIAdPE.jpg","2011-07-02","2011-09-23","https://wwws.warnerbros.co.jp/anime/kamimemo/","False","神様のメモ帳","5.327","/x4I1965Dx0mP9JHdsvWGJxE0Da4.jpg","Scripted","Ended","","Animation, Comedy, Crime, Drama, Mystery","","ja","Chiba TV, Teletama, Tokyo MX, AT-X, MBS, CBC, tvk","JP","日本語","J.C.STAFF","Japan","24"
"31783","Worst Cooks in America","26","197","en","24","6.417","12 to 16 contestants with poor cooking skills are taken through an eight-week culinary boot camp, to earn a cash prize of $25,000. The recruits are trained on the various basic cooking techniques including: baking, knife skills, temperature, seasoning and preparation. The final challenge is to cook a restaurant quality three-course meal for three food critics.","False","/rIyVf7vphuswStEzDFxijZ7OVW7.jpg","2010-01-03","2023-09-10","http://www.foodnetwork.com/worst-cooks-in-america","True","Worst Cooks in America","10.957","/pWYV0xhyh4aNJv14zNIL1LBKIOL.jpg","Reality","Returning Series","","Reality, Comedy","","en","Food Network","US","English","Optomen Productions, All3Media America, Objective Media Group","United States of America","60"
"2928","The Hardy Boys / Nancy Drew Mysteries","3","46","en","24","7.125","The Hardy Boys/Nancy Drew Mysteries is a television series which aired for three seasons on ABC. The series starred Parker Stevenson and Shaun Cassidy as amateur sleuth brothers Frank and Joe Hardy, respectively, and Pamela Sue Martin as girl detective Nancy Drew.

The Hardy Boys/Nancy Drew Mysteries was unusual in that it often dealt with the characters individually, in an almost anthological style. That is, some episodes featured only the Hardy Boys and others only Nancy Drew.","False","/fp7PKzzwXUmBAwiAKhPTR4RPt5z.jpg","1977-01-30","1979-01-14","","False","The Hardy Boys / Nancy Drew Mysteries","68.867","/2gNO5CI1U46a7faNu5aJUEsFS6H.jpg","Scripted","Ended","","Mystery, Action & Adventure","","en","ABC","US","English","","","60"
"76318","20,000 Leagues Under the Sea","1","2","en","24","5.6","New England, 1886:  a creature of unknown origin is destroying ships at sea. It is the job of Professor Pierre Aronnax, a marine expert, and Ned Land, the iron willed sailor, to learn the truth about the monster roaming the seas.  In their search, they come across the sophisticated submarine Nautilus, secretly cruising under the ocean, and its charismatic captain Nemo.","False","/1ptqoIdmdZbTnhOqnQpyqaevWuj.jpg","1997-05-11","1997-05-12","","False","20,000 Leagues Under the Sea","7.25","/s3NQE1PsgJVxZeGLpRd6WxHXdHU.jpg","Miniseries","Ended","","Sci-Fi & Fantasy, Action & Adventure","Jules Verne","en","ABC","US","English","Village Roadshow Pictures, Frederick S. Pierce Company","Australia, United States of America","173"
"41322","Pandemic","1","4","en","24","5.1","The bird flu virus spreads through Los Angeles as a doctor from the CDC races to find a vaccine.","False","/iDHdHFcutbA5gmjKCqgVLL4R0JK.jpg","2007-05-26","2007-05-29","","False","Pandemic","7.628","/kwQb8MDTWhHXYW5WN8T0GIrLLja.jpg","Miniseries","Ended","Pandemic","Drama","Armand Mastroianni","en","Hallmark Channel","US","English","Robert Halmi, Larry Levinson Productions","United States of America","68"
"106173","Mystery Lab","1","8","pt","24","7.2","Host Felipe Castanhari explores science, history, mysteries and marvels, uncovering mind-blowing facts with help from his lab buddies.","False","/vJVr4ZGMfqEeXfa0RYSOmy0VMl8.jpg","2020-08-04","2020-08-04","https://www.netflix.com/title/81020977","False","Mundo Mistério","2.713","/ihc15uMbjI6kzIy14CWGvOCZ39d.jpg","Documentary","Ended","","Documentary, Comedy, Family","Felipe Castanhari","pt","Netflix","BR","Português","","Brazil","25"
"6480","House Hunters","240","804","en","24","5.3","Hosted by Suzanne Whang, the show takes viewers behind the scenes as individuals, couples and families learn what to look for and decide whether or not a home is meant for them. Focusing on the emotional experience of finding and purchasing a new home, each episode follows a prospective buyer and real estate agent through the home-buying process, from start to finish.","False","/aDRIKJuB63tuJUZf1O4mRmbMTVw.jpg","1999-09-30","2023-10-02","https://www.hgtv.com/shows/house-hunters","True","House Hunters","38.52","/7Bsr9ogG0q6yHtNuIp6bJ6EFpbH.jpg","Reality","Returning Series","","Reality","","en","HGTV","US","English","Pie Town Productions","United States of America","22"
"38854","9 End 2 Outs","1","16","ko","24","7.5","9 End 2 Outs is a heartfelt and hilarious romantic comedy with a twist. Hong Nan Hee and Byun Hyung Tae have been best friends for 30 years. They cook for each other, call each other daily, bicker like siblings, and support each other when things go wrong. But everything is about to change. On her 30th birthday, Nan Hee realizes that she needs to shake things up. Tired of living with her mother, she rents Hyung Tae's house while he is on vacation, but complications arise and soon the two friends are living in the house together. As the old friends navigate new territory, they begin to discover things they never knew about each other—he's neurotic, she snores—but more importantly, they begin to discover what their friends and family have always suspected—that, without realizing it, they've been the most important people to each other all along.","False","/49Q5sQoCUWN2kXhh38zKDfl7JE0.jpg","2007-07-14","2007-09-09","http://www.imbc.com/broad/tv/drama/2out/","False","9회말 2아웃","4.281","/u1ToG0tmD4M2DBn32oayRmFdWRl.jpg","Scripted","Ended","","Comedy, Romance","","ko","MBC","KR","한국어/조선말","IJ Entertainment 02, Appletree Pictures","South Korea","65"
"127907","McCartney 3, 2, 1","1","6","en","24","8.604","Paul McCartney sits down for a rare in-depth one-on-one with legendary producer Rick Rubin to discuss his ground breaking work with The Beatles, the emblematic 70s arena rock of Wings and his 50 years and counting as a solo artist.","False","/gq0z4BGGcdHv4wKNqRrNpKG8qQ1.jpg","2021-07-16","2021-07-16","https://www.hulu.com/series/mccartney-3-2-1-e168480d-849e-4f2d-aaf2-a5276723d68d","False","McCartney 3, 2, 1","4.507","/oFLsac8ieC0qCjucFosdbgxpXkm.jpg","Miniseries","Ended","Paul McCartney. Rick Rubin. History in the making.","Documentary","","en","Hulu","US","English","Endeavor Content","United States of America","30"
"196944","My Happy Marriage","2","13","ja","24","7.8","Miyo's abusive family deems her worthless – but together with her powerful husband-to-be, her true self and hidden powers slowly begin to shine.","False","/rRu2yhxhPxywgWADU19ZeDu0pzK.jpg","2023-07-05","2023-09-20","https://watakon-anime.com","True","わたしの幸せな結婚","170.337","/gPqp4ux7rPETtjmjkW8Q2wXT1va.jpg","Scripted","Returning Series","Is this marriage a blessing? Or a curse?","Animation, Drama, Sci-Fi & Fantasy","","ja","Tokyo MX","JP","日本語","Kinema Citrus, Miracle Bus, Glovision, TOY'S FACTORY, Bandai Namco Music Live","Japan","24"
"106513","World's Most Wanted","1","5","en","24","7.271","Heinous criminals have avoided capture despite massive rewards and global investigations. This docuseries profiles some of the world’s most wanted.","False","/7pJBax2QbrmH7A5hjmg0q09zuGD.jpg","2020-08-05","2020-08-05","https://www.netflix.com/title/81013210","False","World's Most Wanted","4.501","/dDaIGQvHHP4xixwqwhgwn8WMZx.jpg","Documentary","Ended","","Documentary, Crime","","en","Netflix","US","English","","United States of America","45"
"112489","Side Hustle","2","46","en","24","7.458","After accidentally setting their principal's boat on fire, best friends Lex, Presley, & Munchy create an app to get jobs to pay off their debt. They'll do whatever it takes, no matter how embarrassing.","False","/1umlfhQAWuRR6iyo8gD90vrN0wC.jpg","2020-11-07","2022-06-30","https://www.nick.com/shows/side-hustle","False","Side Hustle","27.009","/sTDn4xp6KcnjDLCpOarymUoSlAz.jpg","Scripted","Ended","","Comedy","David Malkoff","en","Nickelodeon","US","English","Nickelodeon Productions","United States of America","23"
"6074","My Girl","1","23","ko","24","7.6","Gong Chan is the wealthy, unattached heir to a large company. Having lost both his parents, he is devoted to what remains of his family, particularly his ailing grandfather. After deciding to cut off his only daughter after disapproving of her marriage, the old man is plagued with guilt since the couple was killed soon after he lost touch. By chance, Gong Chan meets a woman who resembles his lost aunt and is inspired to use her to fulfill his grandfather's last wish. The woman, Yoo Rin is the daughter of a compulsive gambler and is constantly on the run, so when Gong Chan offers her this opportunity, she cannot afford to refuse. After Yoo Rin moves in with the family, Gong Chan finds himself drawn to her and a forbidden attraction springs up between them.","False","/jM2dVpcfyIVoDb2q7n092wkxiE2.jpg","2005-12-14","2006-03-01","http://www.tv.sbs.co.kr/mygirl/","False","Mai Geol","18.89","/72Su8fJNHMidt9wCcVWKkLJzHrS.jpg","Scripted","Ended","","Comedy, Drama","Hong Mi-ran, Hong Jeong-eun","ko","SBS","KR","한국어/조선말","DSP Media","South Korea","60"
"114162","The Republic of Sarah","1","13","en","24","7.4","Faced with the destruction of her town at the hands of a greedy mining company, rebellious high school teacher Sarah Cooper utilizes an obscure cartographical loophole to declare independence. Now Sarah must lead a young group of misfits as they attempt to start their own country from scratch.","False","/sXeFZlNKJBVnUvrgWeGLgE9zsqA.jpg","2021-06-14","2021-09-06","https://www.cwtv.com/shows/the-republic-of-sarah","False","The Republic of Sarah","4.641","/egotOnlmUCFhEGdz1ifW1gzX6cY.jpg","Scripted","Canceled","In us we trust.","Drama","","en","The CW","US","English","","","42"
"77591","Flint Town","1","8","en","24","7.0","Over a two-year period, filmmakers embedded with cops in Flint, Michigan, reveal a department grappling with volatile issues in untenable conditions.","False","/s7NOMDcRfmXM4ctIrUMaBop7R7U.jpg","2018-03-02","2018-03-02","https://www.netflix.com/title/80156688","False","Flint Town","3.776","/rkQja9qgd4GB0ZdZBk7uYp9SlLI.jpg","Miniseries","Ended","","Documentary, Crime, Action & Adventure","","en","Netflix","US","English","Anonymous Content","United States of America","45"
"6592","Earthworm Jim","2","23","en","24","7.2","Earthworm Jim is an American and British animated television series based on the video game with the same name which appeared on Kids' WB! for two seasons from September 9, 1995 through December 13, 1996. The series follows the adventures of an earthworm named Jim, who is turned into a superhero by a robotic super suit.","False","/qETWtnGYOckm4WnKtiW6u1MJYVu.jpg","1995-09-09","1996-12-14","","False","Earthworm Jim","9.723","/zxZTvRjEjOlRXkIpDXz60cUtow6.jpg","Scripted","Ended","","Action & Adventure, Animation, Comedy, Sci-Fi & Fantasy","Doug TenNapel","en","The WB","US","English","Flextech Television Limited, Universal Cartoon Studios, Shiny Entertainment, Universal Animation Studios, AKOM Production Company","United States of America","30"
